filename,variables,ranges,expression_infix,expression_prefix,token_types,expression_prefix_masked,constant_dict
II.2.42,"['kappa','T1','T2','A','d']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",kappa MUL ( T2 SUB T1 ) MUL A DIV d,DIV MUL MUL kappa SUB T2 T1 A d,OP_DIV OP_MUL OP_MUL VAR OP_SUB VAR VAR VAR VAR,DIV MUL MUL kappa SUB T2 T1 A d,"{}"
II.3.24,"['Pwr','r']","[(1.0,5.0),(1.0,5.0)]",Pwr DIV ( 4 MUL pi MUL r POW 2 ),DIV Pwr MUL MUL 4 pi POW r 2,OP_DIV VAR OP_MUL OP_MUL NUM CONST OP_POW VAR NUM,DIV Pwr MUL MUL <C_0> pi POW r <C_1>,"{'<C_0>': 4.0,'<C_1>': 2.0}"
II.4.23,"['q','epsilon','r']","[(1.0,5.0),(1.0,5.0),(1.0,5.0)]",q DIV ( 4 MUL pi MUL epsilon MUL r ),DIV q MUL MUL MUL 4 pi epsilon r,OP_DIV VAR OP_MUL OP_MUL OP_MUL NUM CONST VAR VAR,DIV q MUL MUL MUL <C_0> pi epsilon r,"{'<C_0>': 4.0}"
II.6.11,"['epsilon','p_d','theta','r']","[(1.0,3.0),(1.0,3.0),(1.0,3.0),(1.0,3.0)]",1 DIV ( 4 MUL pi MUL epsilon ) MUL p_d MUL cos ( theta ) DIV r POW 2,DIV MUL MUL DIV 1 MUL MUL 4 pi epsilon p_d cos theta POW r 2,OP_DIV OP_MUL OP_MUL OP_DIV NUM OP_MUL OP_MUL NUM CONST VAR VAR FUNC VAR OP_POW VAR NUM,DIV MUL MUL DIV <C_0> MUL MUL <C_1> pi epsilon p_d cos theta POW r <C_2>,"{'<C_0>': 1.0,'<C_1>': 4.0,'<C_2>': 2.0}"
II.6.15a,"['epsilon','p_d','r','x','y','z']","[(1.0,3.0),(1.0,3.0),(1.0,3.0),(1.0,3.0),(1.0,3.0),(1.0,3.0)]",p_d DIV ( 4 MUL pi MUL epsilon ) MUL 3 MUL z DIV r POW 5 MUL sqrt ( x POW 2 ADD y POW 2 ),MUL DIV MUL MUL DIV p_d MUL MUL 4 pi epsilon 3 z POW r 5 sqrt ADD POW x 2 POW y 2,OP_MUL OP_DIV OP_MUL OP_MUL OP_DIV VAR OP_MUL OP_MUL NUM CONST VAR NUM VAR OP_POW VAR NUM FUNC OP_ADD OP_POW VAR NUM OP_POW VAR NUM,MUL DIV MUL MUL DIV p_d MUL MUL <C_0> pi epsilon <C_1> z POW r <C_2> sqrt ADD POW x <C_3> POW y <C_3>,"{'<C_0>': 4.0,'<C_1>': 3.0,'<C_2>': 5.0,'<C_3>': 2.0}"
II.6.15b,"['epsilon','p_d','theta','r']","[(1.0,3.0),(1.0,3.0),(1.0,3.0),(1.0,3.0)]",p_d DIV ( 4 MUL pi MUL epsilon ) MUL 3 MUL cos ( theta ) MUL sin ( theta ) DIV r POW 3,DIV MUL MUL MUL DIV p_d MUL MUL 4 pi epsilon 3 cos theta sin theta POW r 3,OP_DIV OP_MUL OP_MUL OP_MUL OP_DIV VAR OP_MUL OP_MUL NUM CONST VAR NUM FUNC VAR FUNC VAR OP_POW VAR NUM,DIV MUL MUL MUL DIV p_d MUL MUL <C_0> pi epsilon <C_1> cos theta sin theta POW r <C_1>,"{'<C_0>': 4.0,'<C_1>': 3.0}"
II.8.7,"['q','epsilon','d']","[(1.0,5.0),(1.0,5.0),(1.0,5.0)]",3 DIV 5 MUL q POW 2 DIV ( 4 MUL pi MUL epsilon MUL d ),DIV MUL DIV 3 5 POW q 2 MUL MUL MUL 4 pi epsilon d,OP_DIV OP_MUL OP_DIV NUM NUM OP_POW VAR NUM OP_MUL OP_MUL OP_MUL NUM CONST VAR VAR,DIV MUL DIV <C_0> <C_1> POW q <C_2> MUL MUL MUL <C_3> pi epsilon d,"{'<C_0>': 3.0,'<C_1>': 5.0,'<C_2>': 2.0,'<C_3>': 4.0}"
II.8.31,"['epsilon','Ef']","[(1.0,5.0),(1.0,5.0)]",epsilon MUL Ef POW 2 DIV 2,DIV MUL epsilon POW Ef 2 2,OP_DIV OP_MUL VAR OP_POW VAR NUM NUM,DIV MUL epsilon POW Ef <C_0> <C_0>,"{'<C_0>': 2.0}"
II.10.9,"['sigma_den','epsilon','chi']","[(1.0,5.0),(1.0,5.0),(1.0,5.0)]",sigma_den DIV epsilon MUL 1 DIV ( 1 ADD chi ),DIV MUL DIV sigma_den epsilon 1 ADD 1 chi,OP_DIV OP_MUL OP_DIV VAR VAR NUM OP_ADD NUM VAR,DIV MUL DIV sigma_den epsilon <C_0> ADD <C_0> chi,"{'<C_0>': 1.0}"
II.11.3,"['q','Ef','m','omega_0','omega']","[(1.0,3.0),(1.0,3.0),(1.0,3.0),(3.0,5.0),(1.0,2.0)]",q MUL Ef DIV ( m MUL ( omega_0 POW 2 SUB omega POW 2 ) ),DIV MUL q Ef MUL m SUB POW omega_0 2 POW omega 2,OP_DIV OP_MUL VAR VAR OP_MUL VAR OP_SUB OP_POW VAR NUM OP_POW VAR NUM,DIV MUL q Ef MUL m SUB POW omega_0 <C_0> POW omega <C_0>,"{'<C_0>': 2.0}"
II.11.7,"['n_0','kb','T','theta','p_d','Ef']","[(1.0,3.0),(1.0,3.0),(1.0,3.0),(1.0,3.0),(1.0,3.0),(1.0,3.0)]",n_0 MUL ( 1 ADD p_d MUL Ef MUL cos ( theta ) DIV ( kb MUL T ) ),MUL n_0 ADD 1 DIV MUL MUL p_d Ef cos theta MUL kb T,OP_MUL VAR OP_ADD NUM OP_DIV OP_MUL OP_MUL VAR VAR FUNC VAR OP_MUL VAR VAR,MUL n_0 ADD <C_0> DIV MUL MUL p_d Ef cos theta MUL kb T,"{'<C_0>': 1.0}"
II.11.20,"['n_rho','p_d','Ef','kb','T']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",n_rho MUL p_d POW 2 MUL Ef DIV ( 3 MUL kb MUL T ),DIV MUL MUL n_rho POW p_d 2 Ef MUL MUL 3 kb T,OP_DIV OP_MUL OP_MUL VAR OP_POW VAR NUM VAR OP_MUL OP_MUL NUM VAR VAR,DIV MUL MUL n_rho POW p_d <C_0> Ef MUL MUL <C_1> kb T,"{'<C_0>': 2.0,'<C_1>': 3.0}"
II.11.27,"['n','alpha','epsilon','Ef']","[(0.0,1.0),(0.0,1.0),(1.0,2.0),(1.0,2.0)]",n MUL alpha DIV ( 1 SUB ( n MUL alpha DIV 3 ) ) MUL epsilon MUL Ef,MUL MUL DIV MUL n alpha SUB 1 DIV MUL n alpha 3 epsilon Ef,OP_MUL OP_MUL OP_DIV OP_MUL VAR VAR OP_SUB NUM OP_DIV OP_MUL VAR VAR NUM VAR VAR,MUL MUL DIV MUL n alpha SUB <C_0> DIV MUL n alpha <C_1> epsilon Ef,"{'<C_0>': 1.0,'<C_1>': 3.0}"
II.11.28,"['n','alpha']","[(0.0,1.0),(0.0,1.0)]",1 ADD n MUL alpha DIV ( 1 SUB ( n MUL alpha DIV 3 ) ),ADD 1 DIV MUL n alpha SUB 1 DIV MUL n alpha 3,OP_ADD NUM OP_DIV OP_MUL VAR VAR OP_SUB NUM OP_DIV OP_MUL VAR VAR NUM,ADD <C_0> DIV MUL n alpha SUB <C_0> DIV MUL n alpha <C_1>,"{'<C_0>': 1.0,'<C_1>': 3.0}"
II.13.17,"['epsilon','c','I','r']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",1 DIV ( 4 MUL pi MUL epsilon MUL c POW 2 ) MUL 2 MUL I DIV r,DIV MUL MUL DIV 1 MUL MUL MUL 4 pi epsilon POW c 2 2 I r,OP_DIV OP_MUL OP_MUL OP_DIV NUM OP_MUL OP_MUL OP_MUL NUM CONST VAR OP_POW VAR NUM NUM VAR VAR,DIV MUL MUL DIV <C_0> MUL MUL MUL <C_1> pi epsilon POW c <C_2> <C_2> I r,"{'<C_0>': 1.0,'<C_1>': 4.0,'<C_2>': 2.0}"
II.13.23,"['rho_c_0','v','c']","[(1.0,5.0),(1.0,2.0),(3.0,10.0)]",rho_c_0 DIV sqrt ( 1 SUB v POW 2 DIV c POW 2 ),DIV rho_c_0 sqrt SUB 1 DIV POW v 2 POW c 2,OP_DIV VAR FUNC OP_SUB NUM OP_DIV OP_POW VAR NUM OP_POW VAR NUM,DIV rho_c_0 sqrt SUB <C_0> DIV POW v <C_1> POW c <C_1>,"{'<C_0>': 1.0,'<C_1>': 2.0}"
II.13.34,"['rho_c_0','v','c']","[(1.0,5.0),(1.0,2.0),(3.0,10.0)]",rho_c_0 MUL v DIV sqrt ( 1 SUB v POW 2 DIV c POW 2 ),DIV MUL rho_c_0 v sqrt SUB 1 DIV POW v 2 POW c 2,OP_DIV OP_MUL VAR VAR FUNC OP_SUB NUM OP_DIV OP_POW VAR NUM OP_POW VAR NUM,DIV MUL rho_c_0 v sqrt SUB <C_0> DIV POW v <C_1> POW c <C_1>,"{'<C_0>': 1.0,'<C_1>': 2.0}"
II.15.4,"['mom','B','theta']","[(1.0,5.0),(1.0,5.0),(1.0,5.0)]",SUB mom MUL B MUL cos ( theta ),MUL MUL NEG mom B cos theta,OP_MUL OP_MUL OP_NEG VAR VAR FUNC VAR,MUL MUL NEG mom B cos theta,"{}"
II.15.5,"['p_d','Ef','theta']","[(1.0,5.0),(1.0,5.0),(1.0,5.0)]",SUB p_d MUL Ef MUL cos ( theta ),MUL MUL NEG p_d Ef cos theta,OP_MUL OP_MUL OP_NEG VAR VAR FUNC VAR,MUL MUL NEG p_d Ef cos theta,"{}"
II.21.32,"['q','epsilon','r','v','c']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,2.0),(3.0,10.0)]",q DIV ( 4 MUL pi MUL epsilon MUL r MUL ( 1 SUB v DIV c ) ),DIV q MUL MUL MUL MUL 4 pi epsilon r SUB 1 DIV v c,OP_DIV VAR OP_MUL OP_MUL OP_MUL OP_MUL NUM CONST VAR VAR OP_SUB NUM OP_DIV VAR VAR,DIV q MUL MUL MUL MUL <C_0> pi epsilon r SUB <C_1> DIV v c,"{'<C_0>': 4.0,'<C_1>': 1.0}"
II.24.17,"['omega','c','d']","[(4.0,6.0),(1.0,2.0),(2.0,4.0)]",sqrt ( omega POW 2 DIV c POW 2 SUB pi POW 2 DIV d POW 2 ),sqrt SUB DIV POW omega 2 POW c 2 DIV POW pi 2 POW d 2,FUNC OP_SUB OP_DIV OP_POW VAR NUM OP_POW VAR NUM OP_DIV OP_POW CONST NUM OP_POW VAR NUM,sqrt SUB DIV POW omega <C_0> POW c <C_0> DIV POW pi <C_0> POW d <C_0>,"{'<C_0>': 2.0}"
II.27.16,"['epsilon','c','Ef']","[(1.0,5.0),(1.0,5.0),(1.0,5.0)]",epsilon MUL c MUL Ef POW 2,MUL MUL epsilon c POW Ef 2,OP_MUL OP_MUL VAR VAR OP_POW VAR NUM,MUL MUL epsilon c POW Ef <C_0>,"{'<C_0>': 2.0}"
II.27.18,"['epsilon','Ef']","[(1.0,5.0),(1.0,5.0)]",epsilon MUL Ef POW 2,MUL epsilon POW Ef 2,OP_MUL VAR OP_POW VAR NUM,MUL epsilon POW Ef <C_0>,"{'<C_0>': 2.0}"
II.34.2a,"['q','v','r']","[(1.0,5.0),(1.0,5.0),(1.0,5.0)]",q MUL v DIV ( 2 MUL pi MUL r ),DIV MUL q v MUL MUL 2 pi r,OP_DIV OP_MUL VAR VAR OP_MUL OP_MUL NUM CONST VAR,DIV MUL q v MUL MUL <C_0> pi r,"{'<C_0>': 2.0}"
II.34.2,"['q','v','r']","[(1.0,5.0),(1.0,5.0),(1.0,5.0)]",q MUL v MUL r DIV 2,DIV MUL MUL q v r 2,OP_DIV OP_MUL OP_MUL VAR VAR VAR NUM,DIV MUL MUL q v r <C_0>,"{'<C_0>': 2.0}"
II.34.11,"['g_','q','B','m']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",g_ MUL q MUL B DIV ( 2 MUL m ),DIV MUL MUL g_ q B MUL 2 m,OP_DIV OP_MUL OP_MUL VAR VAR VAR OP_MUL NUM VAR,DIV MUL MUL g_ q B MUL <C_0> m,"{'<C_0>': 2.0}"
II.34.29a,"['q','h','m']","[(1.0,5.0),(1.0,5.0),(1.0,5.0)]",q MUL h DIV ( 4 MUL pi MUL m ),DIV MUL q h MUL MUL 4 pi m,OP_DIV OP_MUL VAR VAR OP_MUL OP_MUL NUM CONST VAR,DIV MUL q h MUL MUL <C_0> pi m,"{'<C_0>': 4.0}"
II.34.29b,"['g_','h','Jz','mom','B']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",g_ MUL mom MUL B MUL Jz DIV ( h DIV ( 2 MUL pi ) ),DIV MUL MUL MUL g_ mom B Jz DIV h MUL 2 pi,OP_DIV OP_MUL OP_MUL OP_MUL VAR VAR VAR VAR OP_DIV VAR OP_MUL NUM CONST,DIV MUL MUL MUL g_ mom B Jz DIV h MUL <C_0> pi,"{'<C_0>': 2.0}"
II.35.18,"['n_0','kb','T','mom','B']","[(1.0,3.0),(1.0,3.0),(1.0,3.0),(1.0,3.0),(1.0,3.0)]",n_0 DIV ( exp ( mom MUL B DIV ( kb MUL T ) ) ADD exp ( SUB mom MUL B DIV ( kb MUL T ) ) ),DIV n_0 ADD exp DIV MUL mom B MUL kb T exp DIV MUL NEG mom B MUL kb T,OP_DIV VAR OP_ADD FUNC OP_DIV OP_MUL VAR VAR OP_MUL VAR VAR FUNC OP_DIV OP_MUL OP_NEG VAR VAR OP_MUL VAR VAR,DIV n_0 ADD exp DIV MUL mom B MUL kb T exp DIV MUL NEG mom B MUL kb T,"{}"
II.35.21,"['n_rho','mom','B','kb','T']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",n_rho MUL mom MUL tanh ( mom MUL B DIV ( kb MUL T ) ),MUL MUL n_rho mom tanh DIV MUL mom B MUL kb T,OP_MUL OP_MUL VAR VAR FUNC OP_DIV OP_MUL VAR VAR OP_MUL VAR VAR,MUL MUL n_rho mom tanh DIV MUL mom B MUL kb T,"{}"
II.36.38,"['mom','H','kb','T','alpha','epsilon','c','M']","[(1.0,3.0),(1.0,3.0),(1.0,3.0),(1.0,3.0),(1.0,3.0),(1.0,3.0),(1.0,3.0),(1.0,3.0)]",mom MUL H DIV ( kb MUL T ) ADD ( mom MUL alpha ) DIV ( epsilon MUL c POW 2 MUL kb MUL T ) MUL M,ADD DIV MUL mom H MUL kb T MUL DIV MUL mom alpha MUL MUL MUL epsilon POW c 2 kb T M,OP_ADD OP_DIV OP_MUL VAR VAR OP_MUL VAR VAR OP_MUL OP_DIV OP_MUL VAR VAR OP_MUL OP_MUL OP_MUL VAR OP_POW VAR NUM VAR VAR VAR,ADD DIV MUL mom H MUL kb T MUL DIV MUL mom alpha MUL MUL MUL epsilon POW c <C_0> kb T M,"{'<C_0>': 2.0}"
II.37.1,"['mom','B','chi']","[(1.0,5.0),(1.0,5.0),(1.0,5.0)]",mom MUL ( 1 ADD chi ) MUL B,MUL MUL mom ADD 1 chi B,OP_MUL OP_MUL VAR OP_ADD NUM VAR VAR,MUL MUL mom ADD <C_0> chi B,"{'<C_0>': 1.0}"
II.38.3,"['Y','A','d','x']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",Y MUL A MUL x DIV d,DIV MUL MUL Y A x d,OP_DIV OP_MUL OP_MUL VAR VAR VAR VAR,DIV MUL MUL Y A x d,"{}"
II.38.14,"['Y','sigma']","[(1.0,5.0),(1.0,5.0)]",Y DIV ( 2 MUL ( 1 ADD sigma ) ),DIV Y MUL 2 ADD 1 sigma,OP_DIV VAR OP_MUL NUM OP_ADD NUM VAR,DIV Y MUL <C_0> ADD <C_1> sigma,"{'<C_0>': 2.0,'<C_1>': 1.0}"
III.4.32,"['h','omega','kb','T']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",1 DIV ( exp ( ( h DIV ( 2 MUL pi ) ) MUL omega DIV ( kb MUL T ) ) SUB 1 ),DIV 1 SUB exp DIV MUL DIV h MUL 2 pi omega MUL kb T 1,OP_DIV NUM OP_SUB FUNC OP_DIV OP_MUL OP_DIV VAR OP_MUL NUM CONST VAR OP_MUL VAR VAR NUM,DIV <C_0> SUB exp DIV MUL DIV h MUL <C_1> pi omega MUL kb T <C_0>,"{'<C_0>': 1.0,'<C_1>': 2.0}"
III.4.33,"['h','omega','kb','T']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",( h DIV ( 2 MUL pi ) ) MUL omega DIV ( exp ( ( h DIV ( 2 MUL pi ) ) MUL omega DIV ( kb MUL T ) ) SUB 1 ),DIV MUL DIV h MUL 2 pi omega SUB exp DIV MUL DIV h MUL 2 pi omega MUL kb T 1,OP_DIV OP_MUL OP_DIV VAR OP_MUL NUM CONST VAR OP_SUB FUNC OP_DIV OP_MUL OP_DIV VAR OP_MUL NUM CONST VAR OP_MUL VAR VAR NUM,DIV MUL DIV h MUL <C_0> pi omega SUB exp DIV MUL DIV h MUL <C_0> pi omega MUL kb T <C_1>,"{'<C_0>': 2.0,'<C_1>': 1.0}"
III.7.38,"['mom','B','h']","[(1.0,5.0),(1.0,5.0),(1.0,5.0)]",2 MUL mom MUL B DIV ( h DIV ( 2 MUL pi ) ),DIV MUL MUL 2 mom B DIV h MUL 2 pi,OP_DIV OP_MUL OP_MUL NUM VAR VAR OP_DIV VAR OP_MUL NUM CONST,DIV MUL MUL <C_0> mom B DIV h MUL <C_0> pi,"{'<C_0>': 2.0}"
III.8.54,"['E_n','t','h']","[(1.0,2.0),(1.0,2.0),(1.0,4.0)]",sin ( E_n MUL t DIV ( h DIV ( 2 MUL pi ) ) ) POW 2,POW sin DIV MUL E_n t DIV h MUL 2 pi 2,OP_POW FUNC OP_DIV OP_MUL VAR VAR OP_DIV VAR OP_MUL NUM CONST NUM,POW sin DIV MUL E_n t DIV h MUL <C_0> pi <C_0>,"{'<C_0>': 2.0}"
III.9.52,"['p_d','Ef','t','h','omega','omega_0']","[(1.0,3.0),(1.0,3.0),(1.0,3.0),(1.0,3.0),(1.0,5.0),(1.0,5.0)]",( p_d MUL Ef MUL t DIV ( h DIV ( 2 MUL pi ) ) ) MUL sin ( ( omega SUB omega_0 ) MUL t DIV 2 ) POW 2 DIV ( ( omega SUB omega_0 ) MUL t DIV 2 ) POW 2,DIV MUL DIV MUL MUL p_d Ef t DIV h MUL 2 pi POW sin DIV MUL SUB omega omega_0 t 2 2 POW DIV MUL SUB omega omega_0 t 2 2,OP_DIV OP_MUL OP_DIV OP_MUL OP_MUL VAR VAR VAR OP_DIV VAR OP_MUL NUM CONST OP_POW FUNC OP_DIV OP_MUL OP_SUB VAR VAR VAR NUM NUM OP_POW OP_DIV OP_MUL OP_SUB VAR VAR VAR NUM NUM,DIV MUL DIV MUL MUL p_d Ef t DIV h MUL <C_0> pi POW sin DIV MUL SUB omega omega_0 t <C_0> <C_0> POW DIV MUL SUB omega omega_0 t <C_0> <C_0>,"{'<C_0>': 2.0}"
III.10.19,"['mom','Bx','By','Bz']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",mom MUL sqrt ( Bx POW 2 ADD By POW 2 ADD Bz POW 2 ),MUL mom sqrt ADD ADD POW Bx 2 POW By 2 POW Bz 2,OP_MUL VAR FUNC OP_ADD OP_ADD OP_POW VAR NUM OP_POW VAR NUM OP_POW VAR NUM,MUL mom sqrt ADD ADD POW Bx <C_0> POW By <C_0> POW Bz <C_0>,"{'<C_0>': 2.0}"
III.12.43,"['n','h']","[(1.0,5.0),(1.0,5.0)]",n MUL ( h DIV ( 2 MUL pi ) ),MUL n DIV h MUL 2 pi,OP_MUL VAR OP_DIV VAR OP_MUL NUM CONST,MUL n DIV h MUL <C_0> pi,"{'<C_0>': 2.0}"
III.13.18,"['E_n','d','k','h']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",2 MUL E_n MUL d POW 2 MUL k DIV ( h DIV ( 2 MUL pi ) ),DIV MUL MUL MUL 2 E_n POW d 2 k DIV h MUL 2 pi,OP_DIV OP_MUL OP_MUL OP_MUL NUM VAR OP_POW VAR NUM VAR OP_DIV VAR OP_MUL NUM CONST,DIV MUL MUL MUL <C_0> E_n POW d <C_0> k DIV h MUL <C_0> pi,"{'<C_0>': 2.0}"
III.14.14,"['I_0','q','Volt','kb','T']","[(1.0,5.0),(1.0,2.0),(1.0,2.0),(1.0,2.0),(1.0,2.0)]",I_0 MUL ( exp ( q MUL Volt DIV ( kb MUL T ) ) SUB 1 ),MUL I_0 SUB exp DIV MUL q Volt MUL kb T 1,OP_MUL VAR OP_SUB FUNC OP_DIV OP_MUL VAR VAR OP_MUL VAR VAR NUM,MUL I_0 SUB exp DIV MUL q Volt MUL kb T <C_0>,"{'<C_0>': 1.0}"
III.15.12,"['U','k','d']","[(1.0,5.0),(1.0,5.0),(1.0,5.0)]",2 MUL U MUL ( 1 SUB cos ( k MUL d ) ),MUL MUL 2 U SUB 1 cos MUL k d,OP_MUL OP_MUL NUM VAR OP_SUB NUM FUNC OP_MUL VAR VAR,MUL MUL <C_0> U SUB <C_1> cos MUL k d,"{'<C_0>': 2.0,'<C_1>': 1.0}"
III.15.14,"['h','E_n','d']","[(1.0,5.0),(1.0,5.0),(1.0,5.0)]",( h DIV ( 2 MUL pi ) ) POW 2 DIV ( 2 MUL E_n MUL d POW 2 ),DIV POW DIV h MUL 2 pi 2 MUL MUL 2 E_n POW d 2,OP_DIV OP_POW OP_DIV VAR OP_MUL NUM CONST NUM OP_MUL OP_MUL NUM VAR OP_POW VAR NUM,DIV POW DIV h MUL <C_0> pi <C_0> MUL MUL <C_0> E_n POW d <C_0>,"{'<C_0>': 2.0}"
III.15.27,"['alpha','n','d']","[(1.0,5.0),(1.0,5.0),(1.0,5.0)]",2 MUL pi MUL alpha DIV ( n MUL d ),DIV MUL MUL 2 pi alpha MUL n d,OP_DIV OP_MUL OP_MUL NUM CONST VAR OP_MUL VAR VAR,DIV MUL MUL <C_0> pi alpha MUL n d,"{'<C_0>': 2.0}"
III.17.37,"['beta','alpha','theta']","[(1.0,5.0),(1.0,5.0),(1.0,5.0)]",beta MUL ( 1 ADD alpha MUL cos ( theta ) ),MUL beta ADD 1 MUL alpha cos theta,OP_MUL VAR OP_ADD NUM OP_MUL VAR FUNC VAR,MUL beta ADD <C_0> MUL alpha cos theta,"{'<C_0>': 1.0}"
III.19.51,"['m','q','h','n','epsilon']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",SUB m MUL q POW 4 DIV ( 2 MUL ( 4 MUL pi MUL epsilon ) POW 2 MUL ( h DIV ( 2 MUL pi ) ) POW 2 ) MUL ( 1 DIV n POW 2 ),MUL DIV MUL NEG m POW q 4 MUL MUL 2 POW MUL MUL 4 pi epsilon 2 POW DIV h MUL 2 pi 2 DIV 1 POW n 2,OP_MUL OP_DIV OP_MUL OP_NEG VAR OP_POW VAR NUM OP_MUL OP_MUL NUM OP_POW OP_MUL OP_MUL NUM CONST VAR NUM OP_POW OP_DIV VAR OP_MUL NUM CONST NUM OP_DIV NUM OP_POW VAR NUM,MUL DIV MUL NEG m POW q <C_0> MUL MUL <C_1> POW MUL MUL <C_0> pi epsilon <C_1> POW DIV h MUL <C_1> pi <C_1> DIV <C_2> POW n <C_1>,"{'<C_0>': 4.0,'<C_1>': 2.0,'<C_2>': 1.0}"
III.21.20,"['rho_c_0','q','A_vec','m']","[(1.0,5.0),(1.0,5.0),(1.0,5.0),(1.0,5.0)]",SUB rho_c_0 MUL q MUL A_vec DIV m,DIV MUL MUL NEG rho_c_0 q A_vec m,OP_DIV OP_MUL OP_MUL OP_NEG VAR VAR VAR VAR,DIV MUL MUL NEG rho_c_0 q A_vec m,"{}"
