filename,variables,ranges,expression_original,expression_prefix,expression_prefix_masked,token_types,constant_dict
II.2.42,"['kappa', 'T1', 'T2', 'A', 'd']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",kappa*(T2-T1)*A/d,DIV MUL MUL kappa SUB T2 T1 A d,DIV MUL MUL VAR_1 SUB VAR_2 VAR_3 VAR_4 VAR_5,OP_DIV OP_MUL OP_MUL VAR_1 OP_SUB VAR_2 VAR_3 VAR_4 VAR_5,"{}"
II.3.24,"['Pwr', 'r']","[(1.0, 5.0), (1.0, 5.0)]",Pwr/(4*pi*r**2),DIV Pwr MUL MUL 4 pi POW r 2,DIV VAR_1 MUL MUL <C_0> pi POW VAR_2 <C_1>,OP_DIV VAR_1 OP_MUL OP_MUL NUM CONST_pi OP_POW VAR_2 NUM,"{'<C_0>': 4.0, '<C_1>': 2.0}"
II.4.23,"['q', 'epsilon', 'r']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",q/(4*pi*epsilon*r),DIV q MUL MUL MUL 4 pi epsilon r,DIV VAR_1 MUL MUL MUL <C_0> pi VAR_2 VAR_3,OP_DIV VAR_1 OP_MUL OP_MUL OP_MUL NUM CONST_pi VAR_2 VAR_3,"{'<C_0>': 4.0}"
II.6.11,"['epsilon', 'p_d', 'theta', 'r']","[(1.0, 3.0), (1.0, 3.0), (1.0, 3.0), (1.0, 3.0)]",1/(4*pi*epsilon)*p_d*cos(theta)/r**2,DIV MUL MUL DIV 1 MUL MUL 4 pi epsilon p_d cos theta POW r 2,DIV MUL MUL DIV <C_0> MUL MUL <C_1> pi VAR_1 VAR_2 cos VAR_3 POW VAR_4 <C_2>,OP_DIV OP_MUL OP_MUL OP_DIV NUM OP_MUL OP_MUL NUM CONST_pi VAR_1 VAR_2 FUNC_cos VAR_3 OP_POW VAR_4 NUM,"{'<C_0>': 1.0, '<C_1>': 4.0, '<C_2>': 2.0}"
II.6.15a,"['epsilon', 'p_d', 'r', 'x', 'y', 'z']","[(1.0, 3.0), (1.0, 3.0), (1.0, 3.0), (1.0, 3.0), (1.0, 3.0), (1.0, 3.0)]",p_d/(4*pi*epsilon)*3*z/r**5*sqrt(x**2+y**2),MUL DIV MUL MUL DIV p_d MUL MUL 4 pi epsilon 3 z POW r 5 sqrt ADD POW x 2 POW y 2,MUL DIV MUL MUL DIV VAR_1 MUL MUL <C_0> pi VAR_2 <C_1> VAR_3 POW VAR_4 <C_2> sqrt ADD POW VAR_5 <C_3> POW VAR_6 <C_3>,OP_MUL OP_DIV OP_MUL OP_MUL OP_DIV VAR_1 OP_MUL OP_MUL NUM CONST_pi VAR_2 NUM VAR_3 OP_POW VAR_4 NUM FUNC_sqrt OP_ADD OP_POW VAR_5 NUM OP_POW VAR_6 NUM,"{'<C_0>': 4.0, '<C_1>': 3.0, '<C_2>': 5.0, '<C_3>': 2.0}"
II.6.15b,"['epsilon', 'p_d', 'theta', 'r']","[(1.0, 3.0), (1.0, 3.0), (1.0, 3.0), (1.0, 3.0)]",p_d/(4*pi*epsilon)*3*cos(theta)*sin(theta)/r**3,DIV MUL MUL MUL DIV p_d MUL MUL 4 pi epsilon 3 cos theta sin theta POW r 3,DIV MUL MUL MUL DIV VAR_1 MUL MUL <C_0> pi VAR_2 <C_1> cos VAR_3 sin VAR_3 POW VAR_4 <C_1>,OP_DIV OP_MUL OP_MUL OP_MUL OP_DIV VAR_1 OP_MUL OP_MUL NUM CONST_pi VAR_2 NUM FUNC_cos VAR_3 FUNC_sin VAR_3 OP_POW VAR_4 NUM,"{'<C_0>': 4.0, '<C_1>': 3.0}"
II.8.7,"['q', 'epsilon', 'd']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",3/5*q**2/(4*pi*epsilon*d),DIV MUL DIV 3 5 POW q 2 MUL MUL MUL 4 pi epsilon d,DIV MUL DIV <C_0> <C_1> POW VAR_1 <C_2> MUL MUL MUL <C_3> pi VAR_2 VAR_3,OP_DIV OP_MUL OP_DIV NUM NUM OP_POW VAR_1 NUM OP_MUL OP_MUL OP_MUL NUM CONST_pi VAR_2 VAR_3,"{'<C_0>': 3.0, '<C_1>': 5.0, '<C_2>': 2.0, '<C_3>': 4.0}"
II.8.31,"['epsilon', 'Ef']","[(1.0, 5.0), (1.0, 5.0)]",epsilon*Ef**2/2,DIV MUL epsilon POW Ef 2 2,DIV MUL VAR_1 POW VAR_2 <C_0> <C_0>,OP_DIV OP_MUL VAR_1 OP_POW VAR_2 NUM NUM,"{'<C_0>': 2.0}"
II.10.9,"['sigma_den', 'epsilon', 'chi']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",sigma_den/epsilon*1/(1+chi),DIV MUL DIV sigma_den epsilon 1 ADD 1 chi,DIV MUL DIV VAR_1 VAR_2 <C_0> ADD <C_0> VAR_3,OP_DIV OP_MUL OP_DIV VAR_1 VAR_2 NUM OP_ADD NUM VAR_3,"{'<C_0>': 1.0}"
II.11.3,"['q', 'Ef', 'm', 'omega_0', 'omega']","[(1.0, 3.0), (1.0, 3.0), (1.0, 3.0), (3.0, 5.0), (1.0, 2.0)]",q*Ef/(m*(omega_0**2-omega**2)),DIV MUL q Ef MUL m SUB POW omega_0 2 POW omega 2,DIV MUL VAR_1 VAR_2 MUL VAR_3 SUB POW VAR_4 <C_0> POW VAR_5 <C_0>,OP_DIV OP_MUL VAR_1 VAR_2 OP_MUL VAR_3 OP_SUB OP_POW VAR_4 NUM OP_POW VAR_5 NUM,"{'<C_0>': 2.0}"
II.11.17,"['n_0', 'kb', 'T', 'theta', 'p_d', 'Ef']","[(1.0, 3.0), (1.0, 3.0), (1.0, 3.0), (1.0, 3.0), (1.0, 3.0), (1.0, 3.0)]",n_0*(1+p_d*Ef*cos(theta)/(kb*T)),MUL n_0 ADD 1 DIV MUL MUL p_d Ef cos theta MUL kb T,MUL VAR_1 ADD <C_0> DIV MUL MUL VAR_2 VAR_3 cos VAR_4 MUL VAR_5 VAR_6,OP_MUL VAR_1 OP_ADD NUM OP_DIV OP_MUL OP_MUL VAR_2 VAR_3 FUNC_cos VAR_4 OP_MUL VAR_5 VAR_6,"{'<C_0>': 1.0}"
II.11.20,"['n_rho', 'p_d', 'Ef', 'kb', 'T']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",n_rho*p_d**2*Ef/(3*kb*T),DIV MUL MUL n_rho POW p_d 2 Ef MUL MUL 3 kb T,DIV MUL MUL VAR_1 POW VAR_2 <C_0> VAR_3 MUL MUL <C_1> VAR_4 VAR_5,OP_DIV OP_MUL OP_MUL VAR_1 OP_POW VAR_2 NUM VAR_3 OP_MUL OP_MUL NUM VAR_4 VAR_5,"{'<C_0>': 2.0, '<C_1>': 3.0}"
II.11.27,"['n', 'alpha', 'epsilon', 'Ef']","[(0.0, 1.0), (0.0, 1.0), (1.0, 2.0), (1.0, 2.0)]",n*alpha/(1-(n*alpha/3))*epsilon*Ef,MUL MUL DIV MUL n alpha SUB 1 DIV MUL n alpha 3 epsilon Ef,MUL MUL DIV MUL VAR_1 VAR_2 SUB <C_0> DIV MUL VAR_1 VAR_2 <C_1> VAR_3 VAR_4,OP_MUL OP_MUL OP_DIV OP_MUL VAR_1 VAR_2 OP_SUB NUM OP_DIV OP_MUL VAR_1 VAR_2 NUM VAR_3 VAR_4,"{'<C_0>': 1.0, '<C_1>': 3.0}"
II.11.28,"['n', 'alpha']","[(0.0, 1.0), (0.0, 1.0)]",1+n*alpha/(1-(n*alpha/3)),ADD 1 DIV MUL n alpha SUB 1 DIV MUL n alpha 3,ADD <C_0> DIV MUL VAR_1 VAR_2 SUB <C_0> DIV MUL VAR_1 VAR_2 <C_1>,OP_ADD NUM OP_DIV OP_MUL VAR_1 VAR_2 OP_SUB NUM OP_DIV OP_MUL VAR_1 VAR_2 NUM,"{'<C_0>': 1.0, '<C_1>': 3.0}"
II.13.17,"['epsilon', 'c', 'I', 'r']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",1/(4*pi*epsilon*c**2)*2*I/r,DIV MUL MUL DIV 1 MUL MUL MUL 4 pi epsilon POW c 2 2 I r,DIV MUL MUL DIV <C_0> MUL MUL MUL <C_1> pi VAR_1 POW VAR_2 <C_2> <C_2> VAR_3 VAR_4,OP_DIV OP_MUL OP_MUL OP_DIV NUM OP_MUL OP_MUL OP_MUL NUM CONST_pi VAR_1 OP_POW VAR_2 NUM NUM VAR_3 VAR_4,"{'<C_0>': 1.0, '<C_1>': 4.0, '<C_2>': 2.0}"
II.13.23,"['rho_c_0', 'v', 'c']","[(1.0, 5.0), (1.0, 2.0), (3.0, 10.0)]",rho_c_0/sqrt(1-v**2/c**2),DIV rho_c_0 sqrt SUB 1 DIV POW v 2 POW c 2,DIV VAR_1 sqrt SUB <C_0> DIV POW VAR_2 <C_1> POW VAR_3 <C_1>,OP_DIV VAR_1 FUNC_sqrt OP_SUB NUM OP_DIV OP_POW VAR_2 NUM OP_POW VAR_3 NUM,"{'<C_0>': 1.0, '<C_1>': 2.0}"
II.13.34,"['rho_c_0', 'v', 'c']","[(1.0, 5.0), (1.0, 2.0), (3.0, 10.0)]",rho_c_0*v/sqrt(1-v**2/c**2),DIV MUL rho_c_0 v sqrt SUB 1 DIV POW v 2 POW c 2,DIV MUL VAR_1 VAR_2 sqrt SUB <C_0> DIV POW VAR_2 <C_1> POW VAR_3 <C_1>,OP_DIV OP_MUL VAR_1 VAR_2 FUNC_sqrt OP_SUB NUM OP_DIV OP_POW VAR_2 NUM OP_POW VAR_3 NUM,"{'<C_0>': 1.0, '<C_1>': 2.0}"
II.15.4,"['mom', 'B', 'theta']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",-mom*B*cos(theta),MUL MUL NEG mom B cos theta,MUL MUL NEG VAR_1 VAR_2 cos VAR_3,OP_MUL OP_MUL OP_NEG VAR_1 VAR_2 FUNC_cos VAR_3,"{}"
II.15.5,"['p_d', 'Ef', 'theta']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",-p_d*Ef*cos(theta),MUL MUL NEG p_d Ef cos theta,MUL MUL NEG VAR_1 VAR_2 cos VAR_3,OP_MUL OP_MUL OP_NEG VAR_1 VAR_2 FUNC_cos VAR_3,"{}"
II.21.32,"['q', 'epsilon', 'r', 'v', 'c']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 2.0), (3.0, 10.0)]",q/(4*pi*epsilon*r*(1-v/c)),DIV q MUL MUL MUL MUL 4 pi epsilon r SUB 1 DIV v c,DIV VAR_1 MUL MUL MUL MUL <C_0> pi VAR_2 VAR_3 SUB <C_1> DIV VAR_4 VAR_5,OP_DIV VAR_1 OP_MUL OP_MUL OP_MUL OP_MUL NUM CONST_pi VAR_2 VAR_3 OP_SUB NUM OP_DIV VAR_4 VAR_5,"{'<C_0>': 4.0, '<C_1>': 1.0}"
II.24.17,"['omega', 'c', 'd']","[(4.0, 6.0), (1.0, 2.0), (2.0, 4.0)]",sqrt(omega**2/c**2-pi**2/d**2),sqrt SUB DIV POW omega 2 POW c 2 DIV POW pi 2 POW d 2,sqrt SUB DIV POW VAR_1 <C_0> POW VAR_2 <C_0> DIV POW pi <C_0> POW VAR_3 <C_0>,FUNC_sqrt OP_SUB OP_DIV OP_POW VAR_1 NUM OP_POW VAR_2 NUM OP_DIV OP_POW CONST_pi NUM OP_POW VAR_3 NUM,"{'<C_0>': 2.0}"
II.27.16,"['epsilon', 'c', 'Ef']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",epsilon*c*Ef**2,MUL MUL epsilon c POW Ef 2,MUL MUL VAR_1 VAR_2 POW VAR_3 <C_0>,OP_MUL OP_MUL VAR_1 VAR_2 OP_POW VAR_3 NUM,"{'<C_0>': 2.0}"
II.27.18,"['epsilon', 'Ef']","[(1.0, 5.0), (1.0, 5.0)]",epsilon*Ef**2,MUL epsilon POW Ef 2,MUL VAR_1 POW VAR_2 <C_0>,OP_MUL VAR_1 OP_POW VAR_2 NUM,"{'<C_0>': 2.0}"
II.34.2a,"['q', 'v', 'r']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",q*v/(2*pi*r),DIV MUL q v MUL MUL 2 pi r,DIV MUL VAR_1 VAR_2 MUL MUL <C_0> pi VAR_3,OP_DIV OP_MUL VAR_1 VAR_2 OP_MUL OP_MUL NUM CONST_pi VAR_3,"{'<C_0>': 2.0}"
II.34.2,"['q', 'v', 'r']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",q*v*r/2,DIV MUL MUL q v r 2,DIV MUL MUL VAR_1 VAR_2 VAR_3 <C_0>,OP_DIV OP_MUL OP_MUL VAR_1 VAR_2 VAR_3 NUM,"{'<C_0>': 2.0}"
II.34.11,"['g_', 'q', 'B', 'm']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",g_*q*B/(2*m),DIV MUL MUL g_ q B MUL 2 m,DIV MUL MUL VAR_1 VAR_2 VAR_3 MUL <C_0> VAR_4,OP_DIV OP_MUL OP_MUL VAR_1 VAR_2 VAR_3 OP_MUL NUM VAR_4,"{'<C_0>': 2.0}"
II.34.29a,"['q', 'h', 'm']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",q*h/(4*pi*m),DIV MUL q h MUL MUL 4 pi m,DIV MUL VAR_1 VAR_2 MUL MUL <C_0> pi VAR_3,OP_DIV OP_MUL VAR_1 VAR_2 OP_MUL OP_MUL NUM CONST_pi VAR_3,"{'<C_0>': 4.0}"
II.34.29b,"['g_', 'h', 'Jz', 'mom', 'B']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",g_*mom*B*Jz/(h/(2*pi)),DIV MUL MUL MUL g_ mom B Jz DIV h MUL 2 pi,DIV MUL MUL MUL VAR_1 VAR_2 VAR_3 VAR_4 DIV VAR_5 MUL <C_0> pi,OP_DIV OP_MUL OP_MUL OP_MUL VAR_1 VAR_2 VAR_3 VAR_4 OP_DIV VAR_5 OP_MUL NUM CONST_pi,"{'<C_0>': 2.0}"
II.35.18,"['n_0', 'kb', 'T', 'mom', 'B']","[(1.0, 3.0), (1.0, 3.0), (1.0, 3.0), (1.0, 3.0), (1.0, 3.0)]",n_0/(exp(mom*B/(kb*T))+exp(-mom*B/(kb*T))),DIV n_0 ADD exp DIV MUL mom B MUL kb T exp DIV MUL NEG mom B MUL kb T,DIV VAR_1 ADD exp DIV MUL VAR_2 VAR_3 MUL VAR_4 VAR_5 exp DIV MUL NEG VAR_2 VAR_3 MUL VAR_4 VAR_5,OP_DIV VAR_1 OP_ADD FUNC_exp OP_DIV OP_MUL VAR_2 VAR_3 OP_MUL VAR_4 VAR_5 FUNC_exp OP_DIV OP_MUL OP_NEG VAR_2 VAR_3 OP_MUL VAR_4 VAR_5,"{}"
II.35.21,"['n_rho', 'mom', 'B', 'kb', 'T']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",n_rho*mom*tanh(mom*B/(kb*T)),MUL MUL n_rho mom tanh DIV MUL mom B MUL kb T,MUL MUL VAR_1 VAR_2 tanh DIV MUL VAR_2 VAR_3 MUL VAR_4 VAR_5,OP_MUL OP_MUL VAR_1 VAR_2 FUNC_tanh OP_DIV OP_MUL VAR_2 VAR_3 OP_MUL VAR_4 VAR_5,"{}"
II.36.38,"['mom', 'H', 'kb', 'T', 'alpha', 'epsilon', 'c', 'M']","[(1.0, 3.0), (1.0, 3.0), (1.0, 3.0), (1.0, 3.0), (1.0, 3.0), (1.0, 3.0), (1.0, 3.0), (1.0, 3.0)]",mom*H/(kb*T)+(mom*alpha)/(epsilon*c**2*kb*T)*M,ADD DIV MUL mom H MUL kb T MUL DIV MUL mom alpha MUL MUL MUL epsilon POW c 2 kb T M,ADD DIV MUL VAR_1 VAR_2 MUL VAR_3 VAR_4 MUL DIV MUL VAR_1 VAR_5 MUL MUL MUL VAR_6 POW VAR_7 <C_0> VAR_3 VAR_4 VAR_8,OP_ADD OP_DIV OP_MUL VAR_1 VAR_2 OP_MUL VAR_3 VAR_4 OP_MUL OP_DIV OP_MUL VAR_1 VAR_5 OP_MUL OP_MUL OP_MUL VAR_6 OP_POW VAR_7 NUM VAR_3 VAR_4 VAR_8,"{'<C_0>': 2.0}"
II.37.1,"['mom', 'B', 'chi']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",mom*(1+chi)*B,MUL MUL mom ADD 1 chi B,MUL MUL VAR_1 ADD <C_0> VAR_2 VAR_3,OP_MUL OP_MUL VAR_1 OP_ADD NUM VAR_2 VAR_3,"{'<C_0>': 1.0}"
II.38.3,"['Y', 'A', 'd', 'x']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",Y*A*x/d,DIV MUL MUL Y A x d,DIV MUL MUL VAR_1 VAR_2 VAR_3 VAR_4,OP_DIV OP_MUL OP_MUL VAR_1 VAR_2 VAR_3 VAR_4,"{}"
II.38.14,"['Y', 'sigma']","[(1.0, 5.0), (1.0, 5.0)]",Y/(2*(1+sigma)),DIV Y MUL 2 ADD 1 sigma,DIV VAR_1 MUL <C_0> ADD <C_1> VAR_2,OP_DIV VAR_1 OP_MUL NUM OP_ADD NUM VAR_2,"{'<C_0>': 2.0, '<C_1>': 1.0}"
III.4.32,"['h', 'omega', 'kb', 'T']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",1/(exp((h/(2*pi))*omega/(kb*T))-1),DIV 1 SUB exp DIV MUL DIV h MUL 2 pi omega MUL kb T 1,DIV <C_0> SUB exp DIV MUL DIV VAR_1 MUL <C_1> pi VAR_2 MUL VAR_3 VAR_4 <C_0>,OP_DIV NUM OP_SUB FUNC_exp OP_DIV OP_MUL OP_DIV VAR_1 OP_MUL NUM CONST_pi VAR_2 OP_MUL VAR_3 VAR_4 NUM,"{'<C_0>': 1.0, '<C_1>': 2.0}"
III.4.33,"['h', 'omega', 'kb', 'T']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",(h/(2*pi))*omega/(exp((h/(2*pi))*omega/(kb*T))-1),DIV MUL DIV h MUL 2 pi omega SUB exp DIV MUL DIV h MUL 2 pi omega MUL kb T 1,DIV MUL DIV VAR_1 MUL <C_0> pi VAR_2 SUB exp DIV MUL DIV VAR_1 MUL <C_0> pi VAR_2 MUL VAR_3 VAR_4 <C_1>,OP_DIV OP_MUL OP_DIV VAR_1 OP_MUL NUM CONST_pi VAR_2 OP_SUB FUNC_exp OP_DIV OP_MUL OP_DIV VAR_1 OP_MUL NUM CONST_pi VAR_2 OP_MUL VAR_3 VAR_4 NUM,"{'<C_0>': 2.0, '<C_1>': 1.0}"
III.7.38,"['mom', 'B', 'h']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",2*mom*B/(h/(2*pi)),DIV MUL MUL 2 mom B DIV h MUL 2 pi,DIV MUL MUL <C_0> VAR_1 VAR_2 DIV VAR_3 MUL <C_0> pi,OP_DIV OP_MUL OP_MUL NUM VAR_1 VAR_2 OP_DIV VAR_3 OP_MUL NUM CONST_pi,"{'<C_0>': 2.0}"
III.8.54,"['E_n', 't', 'h']","[(1.0, 2.0), (1.0, 2.0), (1.0, 4.0)]",sin(E_n*t/(h/(2*pi)))**2,POW sin DIV MUL E_n t DIV h MUL 2 pi 2,POW sin DIV MUL VAR_1 VAR_2 DIV VAR_3 MUL <C_0> pi <C_0>,OP_POW FUNC_sin OP_DIV OP_MUL VAR_1 VAR_2 OP_DIV VAR_3 OP_MUL NUM CONST_pi NUM,"{'<C_0>': 2.0}"
III.9.52,"['p_d', 'Ef', 't', 'h', 'omega', 'omega_0']","[(1.0, 3.0), (1.0, 3.0), (1.0, 3.0), (1.0, 3.0), (1.0, 5.0), (1.0, 5.0)]",(p_d*Ef*t/(h/(2*pi)))*sin((omega-omega_0)*t/2)**2/((omega-omega_0)*t/2)**2,DIV MUL DIV MUL MUL p_d Ef t DIV h MUL 2 pi POW sin DIV MUL SUB omega omega_0 t 2 2 POW DIV MUL SUB omega omega_0 t 2 2,DIV MUL DIV MUL MUL VAR_1 VAR_2 VAR_3 DIV VAR_4 MUL <C_0> pi POW sin DIV MUL SUB VAR_5 VAR_6 VAR_3 <C_0> <C_0> POW DIV MUL SUB VAR_5 VAR_6 VAR_3 <C_0> <C_0>,OP_DIV OP_MUL OP_DIV OP_MUL OP_MUL VAR_1 VAR_2 VAR_3 OP_DIV VAR_4 OP_MUL NUM CONST_pi OP_POW FUNC_sin OP_DIV OP_MUL OP_SUB VAR_5 VAR_6 VAR_3 NUM NUM OP_POW OP_DIV OP_MUL OP_SUB VAR_5 VAR_6 VAR_3 NUM NUM,"{'<C_0>': 2.0}"
III.10.19,"['mom', 'Bx', 'By', 'Bz']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",mom*sqrt(Bx**2+By**2+Bz**2),MUL mom sqrt ADD ADD POW Bx 2 POW By 2 POW Bz 2,MUL VAR_1 sqrt ADD ADD POW VAR_2 <C_0> POW VAR_3 <C_0> POW VAR_4 <C_0>,OP_MUL VAR_1 FUNC_sqrt OP_ADD OP_ADD OP_POW VAR_2 NUM OP_POW VAR_3 NUM OP_POW VAR_4 NUM,"{'<C_0>': 2.0}"
III.12.43,"['n', 'h']","[(1.0, 5.0), (1.0, 5.0)]",n*(h/(2*pi)),MUL n DIV h MUL 2 pi,MUL VAR_1 DIV VAR_2 MUL <C_0> pi,OP_MUL VAR_1 OP_DIV VAR_2 OP_MUL NUM CONST_pi,"{'<C_0>': 2.0}"
III.13.18,"['E_n', 'd', 'k', 'h']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",2*E_n*d**2*k/(h/(2*pi)),DIV MUL MUL MUL 2 E_n POW d 2 k DIV h MUL 2 pi,DIV MUL MUL MUL <C_0> VAR_1 POW VAR_2 <C_0> VAR_3 DIV VAR_4 MUL <C_0> pi,OP_DIV OP_MUL OP_MUL OP_MUL NUM VAR_1 OP_POW VAR_2 NUM VAR_3 OP_DIV VAR_4 OP_MUL NUM CONST_pi,"{'<C_0>': 2.0}"
III.14.14,"['I_0', 'q', 'Volt', 'kb', 'T']","[(1.0, 5.0), (1.0, 2.0), (1.0, 2.0), (1.0, 2.0), (1.0, 2.0)]",I_0*(exp(q*Volt/(kb*T))-1),MUL I_0 SUB exp DIV MUL q Volt MUL kb T 1,MUL VAR_1 SUB exp DIV MUL VAR_2 VAR_3 MUL VAR_4 VAR_5 <C_0>,OP_MUL VAR_1 OP_SUB FUNC_exp OP_DIV OP_MUL VAR_2 VAR_3 OP_MUL VAR_4 VAR_5 NUM,"{'<C_0>': 1.0}"
III.15.12,"['U', 'k', 'd']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",2*U*(1-cos(k*d)),MUL MUL 2 U SUB 1 cos MUL k d,MUL MUL <C_0> VAR_1 SUB <C_1> cos MUL VAR_2 VAR_3,OP_MUL OP_MUL NUM VAR_1 OP_SUB NUM FUNC_cos OP_MUL VAR_2 VAR_3,"{'<C_0>': 2.0, '<C_1>': 1.0}"
III.15.14,"['h', 'E_n', 'd']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",(h/(2*pi))**2/(2*E_n*d**2),DIV POW DIV h MUL 2 pi 2 MUL MUL 2 E_n POW d 2,DIV POW DIV VAR_1 MUL <C_0> pi <C_0> MUL MUL <C_0> VAR_2 POW VAR_3 <C_0>,OP_DIV OP_POW OP_DIV VAR_1 OP_MUL NUM CONST_pi NUM OP_MUL OP_MUL NUM VAR_2 OP_POW VAR_3 NUM,"{'<C_0>': 2.0}"
III.15.27,"['alpha', 'n', 'd']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",2*pi*alpha/(n*d),DIV MUL MUL 2 pi alpha MUL n d,DIV MUL MUL <C_0> pi VAR_1 MUL VAR_2 VAR_3,OP_DIV OP_MUL OP_MUL NUM CONST_pi VAR_1 OP_MUL VAR_2 VAR_3,"{'<C_0>': 2.0}"
III.17.37,"['beta', 'alpha', 'theta']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",beta*(1+alpha*cos(theta)),MUL beta ADD 1 MUL alpha cos theta,MUL VAR_1 ADD <C_0> MUL VAR_2 cos VAR_3,OP_MUL VAR_1 OP_ADD NUM OP_MUL VAR_2 FUNC_cos VAR_3,"{'<C_0>': 1.0}"
III.19.51,"['m', 'q', 'h', 'n', 'epsilon']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",-m*q**4/(2*(4*pi*epsilon)**2*(h/(2*pi))**2)*(1/n**2),MUL DIV MUL NEG m POW q 4 MUL MUL 2 POW MUL MUL 4 pi epsilon 2 POW DIV h MUL 2 pi 2 DIV 1 POW n 2,MUL DIV MUL NEG VAR_1 POW VAR_2 <C_0> MUL MUL <C_1> POW MUL MUL <C_0> pi VAR_3 <C_1> POW DIV VAR_4 MUL <C_1> pi <C_1> DIV <C_2> POW VAR_5 <C_1>,OP_MUL OP_DIV OP_MUL OP_NEG VAR_1 OP_POW VAR_2 NUM OP_MUL OP_MUL NUM OP_POW OP_MUL OP_MUL NUM CONST_pi VAR_3 NUM OP_POW OP_DIV VAR_4 OP_MUL NUM CONST_pi NUM OP_DIV NUM OP_POW VAR_5 NUM,"{'<C_0>': 4.0, '<C_1>': 2.0, '<C_2>': 1.0}"
III.21.20,"['rho_c_0', 'q', 'A_vec', 'm']","[(1.0, 5.0), (1.0, 5.0), (1.0, 5.0), (1.0, 5.0)]",-rho_c_0*q*A_vec/m,DIV MUL MUL NEG rho_c_0 q A_vec m,DIV MUL MUL NEG VAR_1 VAR_2 VAR_3 VAR_4,OP_DIV OP_MUL OP_MUL OP_NEG VAR_1 VAR_2 VAR_3 VAR_4,"{}"
